행정구역,2020년04월_총인구수,2020년04월_세대수,2020년04월_세대당 인구,2020년05월_총인구수,2020년05월_세대수,2020년05월_세대당 인구
서울특별시  (1100000000),"9,726,787","4,361,645",2.23,"9,724,496","4,373,610",2.22
서울특별시 종로구 (1111000000),"150,936","74,299",2.03,"150,623","74,408",2.02
서울특별시 종로구 청운효자동(1111051500),"12,711","5,396",2.36,"12,667","5,395",2.35
서울특별시 종로구 사직동(1111053000),"9,509","4,675",2.03,"9,481","4,688",2.02
서울특별시 종로구 삼청동(1111054000),"2,734","1,369",2,"2,718","1,363",1.99
서울특별시 종로구 부암동(1111055000),"10,144","4,351",2.33,"10,093","4,341",2.33
서울특별시 종로구 평창동(1111056000),"18,573","7,511",2.47,"18,523","7,510",2.47
서울특별시 종로구 무악동(1111057000),"8,690","3,199",2.72,"8,684","3,209",2.71
서울특별시 종로구 교남동(1111058000),"10,563","4,591",2.3,"10,561","4,597",2.3
서울특별시 종로구 가회동(1111060000),"4,351","2,070",2.1,"4,346","2,077",2.09
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,242","5,219",1.39,"7,259","5,243",1.38
서울특별시 종로구 종로5.6가동(1111063000),"5,368","3,411",1.57,"5,340","3,408",1.57
서울특별시 종로구 이화동(1111064000),"7,786","4,439",1.75,"7,790","4,462",1.75
서울특별시 종로구 혜화동(1111065000),"16,916","9,287",1.82,"16,903","9,317",1.81
서울특별시 종로구 창신제1동(1111067000),"5,185","2,951",1.76,"5,164","2,944",1.75
서울특별시 종로구 창신제2동(1111068000),"8,452","4,133",2.05,"8,439","4,148",2.03
서울특별시 종로구 창신제3동(1111069000),"7,049","2,896",2.43,"7,027","2,907",2.42
서울특별시 종로구 숭인제1동(1111070000),"6,148","2,975",2.07,"6,138","2,979",2.06
서울특별시 종로구 숭인제2동(1111071000),"9,515","5,826",1.63,"9,490","5,820",1.63
서울특별시 중구 (1114000000),"126,126","63,091",2,"126,120","63,234",1.99
서울특별시 중구 소공동(1114052000),"2,117","1,128",1.88,"2,110","1,126",1.87
서울특별시 중구 회현동(1114054000),"5,219","3,105",1.68,"5,222","3,100",1.68
서울특별시 중구 명동(1114055000),"2,975","1,568",1.9,"2,999","1,591",1.88
서울특별시 중구 필동(1114057000),"3,948","2,301",1.72,"3,968","2,326",1.71
서울특별시 중구 장충동(1114058000),"4,696","2,734",1.72,"4,692","2,743",1.71
서울특별시 중구 광희동(1114059000),"4,971","3,015",1.65,"5,011","3,038",1.65
서울특별시 중구 을지로동(1114060500),"1,825","1,362",1.34,"1,830","1,363",1.34
서울특별시 중구 신당동(1114061500),"7,538","4,471",1.69,"7,552","4,496",1.68
서울특별시 중구 다산동(1114062500),"14,494","6,973",2.08,"14,451","6,980",2.07
서울특별시 중구 약수동(1114063500),"17,454","7,815",2.23,"17,400","7,819",2.23
서울특별시 중구 청구동(1114064500),"14,146","6,343",2.23,"14,157","6,349",2.23
서울특별시 중구 신당제5동(1114065000),"10,625","5,336",1.99,"10,656","5,352",1.99
서울특별시 중구 동화동(1114066500),"10,798","4,173",2.59,"10,796","4,176",2.59
서울특별시 중구 황학동(1114067000),"12,725","6,921",1.84,"12,708","6,916",1.84
서울특별시 중구 중림동(1114068000),"12,595","5,846",2.15,"12,568","5,859",2.15
서울특별시 용산구 (1117000000),"229,369","111,037",2.07,"229,393","111,319",2.06
서울특별시 용산구 후암동(1117051000),"17,831","8,557",2.08,"17,804","8,574",2.08
서울특별시 용산구 용산2가동(1117052000),"10,311","5,420",1.9,"10,285","5,431",1.89
서울특별시 용산구 남영동(1117053000),"7,770","5,474",1.42,"7,758","5,456",1.42
서울특별시 용산구 청파동(1117055500),"19,881","10,939",1.82,"19,874","10,961",1.81
서울특별시 용산구 원효로제1동(1117056000),"16,071","7,902",2.03,"16,091","7,915",2.03
서울특별시 용산구 원효로제2동(1117057000),"14,365","5,999",2.39,"14,336","6,012",2.38
서울특별시 용산구 효창동(1117058000),"10,270","4,311",2.38,"10,284","4,320",2.38
서울특별시 용산구 용문동(1117059000),"12,404","5,416",2.29,"12,391","5,411",2.29
서울특별시 용산구 한강로동(1117062500),"18,243","9,909",1.84,"18,294","9,972",1.83
서울특별시 용산구 이촌제1동(1117063000),"28,539","10,331",2.76,"28,537","10,355",2.76
서울특별시 용산구 이촌제2동(1117064000),"8,814","3,841",2.29,"8,820","3,845",2.29
서울특별시 용산구 이태원제1동(1117065000),"6,849","3,776",1.81,"6,868","3,803",1.81
서울특별시 용산구 이태원제2동(1117066000),"9,254","4,910",1.88,"9,272","4,946",1.87
서울특별시 용산구 한남동(1117068500),"21,120","11,281",1.87,"21,123","11,298",1.87
서울특별시 용산구 서빙고동(1117069000),"13,348","5,291",2.52,"13,353","5,305",2.52
서울특별시 용산구 보광동(1117070000),"14,299","7,680",1.86,"14,303","7,715",1.85
서울특별시 성동구 (1120000000),"298,249","135,563",2.2,"297,820","135,712",2.19
서울특별시 성동구 왕십리제2동(1120052000),"17,326","7,608",2.28,"17,322","7,627",2.27
서울특별시 성동구 왕십리도선동(1120053500),"27,239","11,821",2.3,"27,276","11,846",2.3
서울특별시 성동구 마장동(1120054000),"23,204","10,885",2.13,"23,148","10,905",2.12
서울특별시 성동구 사근동(1120055000),"11,758","7,538",1.56,"11,825","7,620",1.55
서울특별시 성동구 행당제1동(1120056000),"14,988","6,853",2.19,"14,640","6,694",2.19
서울특별시 성동구 행당제2동(1120057000),"24,407","9,460",2.58,"24,385","9,469",2.58
서울특별시 성동구 응봉동(1120058000),"15,966","6,158",2.59,"15,914","6,147",2.59
서울특별시 성동구 금호1가동(1120059000),"15,791","6,634",2.38,"15,775","6,652",2.37
서울특별시 성동구 금호2.3가동(1120061500),"23,759","10,335",2.3,"23,768","10,347",2.3
서울특별시 성동구 금호4가동(1120062000),"14,906","6,441",2.31,"14,884","6,450",2.31
서울특별시 성동구 옥수동(1120064500),"26,885","11,033",2.44,"26,909","11,058",2.43
서울특별시 성동구 성수1가제1동(1120065000),"16,706","7,570",2.21,"16,715","7,596",2.2
