행정동코드,시도명,시군구명,읍면동명,2020인구수,2019인구수,면적,2019인구밀도,2020인구밀도
1111051500,서울특별시,종로구,청운효자동,12711,12911,2.57,5023.735408560312,4945.9143968871595
1111053000,서울특별시,종로구,사직동,9509,9483,1.23,7709.756097560976,7730.8943089430895
1111054000,서울특별시,종로구,삼청동,2734,2800,1.49,1879.1946308724832,1834.8993288590605
1111056000,서울특별시,종로구,평창동,18573,18757,8.87,2114.6561443066516,2093.9120631341602
1111057000,서울특별시,종로구,무악동,8690,8613,0.36,23925.0,24138.88888888889
1111058000,서울특별시,종로구,교남동,10563,10654,0.35,30440.000000000004,30180.000000000004
1111060000,서울특별시,종로구,가회동,4351,4385,0.54,8120.3703703703695,8057.407407407407
1111065000,서울특별시,종로구,혜화동,16916,17029,1.11,15341.44144144144,15239.639639639638
1114052000,서울특별시,중구,소공동,2117,2075,0.95,2184.2105263157896,2228.421052631579
1114052000,서울특별시,중구,소공동,2117,2075,0.95,2184.2105263157896,2228.421052631579
1114052000,서울특별시,중구,소공동,2117,2075,0.95,2184.2105263157896,2228.421052631579
1114052000,서울특별시,중구,소공동,2117,2075,0.95,2184.2105263157896,2228.421052631579
1114052000,서울특별시,중구,소공동,2117,2075,0.95,2184.2105263157896,2228.421052631579
1114052000,서울특별시,중구,소공동,2117,2075,0.95,2184.2105263157896,2228.421052631579
1114054000,서울특별시,중구,회현동,5219,5345,0.84,6363.0952380952385,6213.0952380952385
1114054000,서울특별시,중구,회현동,5219,5345,0.84,6363.0952380952385,6213.0952380952385
1114054000,서울특별시,중구,회현동,5219,5345,0.84,6363.0952380952385,6213.0952380952385
1114054000,서울특별시,중구,회현동,5219,5345,0.84,6363.0952380952385,6213.0952380952385
1114054000,서울특별시,중구,회현동,5219,5345,0.84,6363.0952380952385,6213.0952380952385
1114054000,서울특별시,중구,회현동,5219,5345,0.84,6363.0952380952385,6213.0952380952385
1114055000,서울특별시,중구,명동,2975,2801,0.99,2829.2929292929293,3005.050505050505
1114055000,서울특별시,중구,명동,2975,2801,0.99,2829.2929292929293,3005.050505050505
1114055000,서울특별시,중구,명동,2975,2801,0.99,2829.2929292929293,3005.050505050505
1114055000,서울특별시,중구,명동,2975,2801,0.99,2829.2929292929293,3005.050505050505
1114055000,서울특별시,중구,명동,2975,2801,0.99,2829.2929292929293,3005.050505050505
1114055000,서울특별시,중구,명동,2975,2801,0.99,2829.2929292929293,3005.050505050505
1114057000,서울특별시,중구,필동,3948,4060,1.14,3561.4035087719303,3463.1578947368425
1114057000,서울특별시,중구,필동,3948,4060,1.14,3561.4035087719303,3463.1578947368425
1114057000,서울특별시,중구,필동,3948,4060,1.14,3561.4035087719303,3463.1578947368425
1114057000,서울특별시,중구,필동,3948,4060,1.14,3561.4035087719303,3463.1578947368425
1114057000,서울특별시,중구,필동,3948,4060,1.14,3561.4035087719303,3463.1578947368425
1114057000,서울특별시,중구,필동,3948,4060,1.14,3561.4035087719303,3463.1578947368425
1114058000,서울특별시,중구,장충동,4696,4736,1.36,3482.3529411764703,3452.941176470588
1114058000,서울특별시,중구,장충동,4696,4736,1.36,3482.3529411764703,3452.941176470588
